dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,7.219900,11.250000,7.219905,4.000000,0.000000,0.000000,0.000000
0.010000,7.259895,11.250000,7.259900,3.999501,-0.049875,-4.987500,0.000000
0.010000,7.299875,11.250000,7.299880,3.998004,-0.149750,-9.987500,0.000000
0.010000,7.339830,11.250000,7.339835,3.995506,-0.249750,-10.000000,0.000000
0.010000,7.379750,11.250000,7.379755,3.992009,-0.349750,-10.000000,0.000000
0.010000,7.419625,11.250000,7.419630,3.987511,-0.449750,-10.000000,0.000000
0.010000,7.459445,11.250000,7.459450,3.982014,-0.549750,-10.000000,0.000000
0.010000,7.499201,11.250000,7.499206,3.975516,-0.649750,-10.000000,0.000000
0.010000,7.538881,11.250000,7.538886,3.968019,-0.749750,-10.000000,0.000000
0.010000,7.578476,11.250000,7.578481,3.959521,-0.849750,-10.000000,0.000000
0.010000,7.617976,11.250000,7.617981,3.950024,-0.949750,-10.000000,0.000000
0.010000,7.657372,11.250000,7.657377,3.939526,-1.049750,-10.000000,0.000000
0.010000,7.696652,11.250000,7.696657,3.928029,-1.149750,-10.000000,0.000000
0.010000,7.735807,11.250000,7.735812,3.915531,-1.249750,-10.000000,0.000000
0.010000,7.774827,11.250000,7.774832,3.902034,-1.349750,-10.000000,0.000000
0.010000,7.813703,11.250000,7.813708,3.887536,-1.449750,-10.000000,0.000000
0.010000,7.852423,11.250000,7.852428,3.872039,-1.549750,-10.000000,0.000000
0.010000,7.890979,11.250000,7.890984,3.855541,-1.649750,-10.000000,0.000000
0.010000,7.929359,11.250000,7.929364,3.838044,-1.749750,-10.000000,0.000000
0.010000,7.967555,11.250000,7.967560,3.819546,-1.849750,-10.000000,0.000000
0.010000,8.005555,11.250000,8.005560,3.800049,-1.949750,-10.000000,0.000000
0.010000,8.043351,11.250000,8.043356,3.779551,-2.049750,-10.000000,0.000000
0.010000,8.080931,11.250000,8.080936,3.758054,-2.149750,-10.000000,0.000000
0.010000,8.118287,11.250000,8.118292,3.735556,-2.249750,-10.000000,0.000000
0.010000,8.155407,11.250000,8.155412,3.712059,-2.349750,-10.000000,0.000000
0.010000,8.192283,11.250000,8.192288,3.687561,-2.449750,-10.000000,0.000000
0.010000,8.228903,11.250000,8.228908,3.662064,-2.549750,-10.000000,0.000000
0.010000,8.265259,11.250000,8.265264,3.635566,-2.649750,-10.000000,0.000000
0.010000,8.301340,11.250000,8.301345,3.608069,-2.749750,-10.000000,0.000000
0.010000,8.337136,11.250000,8.337141,3.579571,-2.849750,-10.000000,0.000000
0.010000,8.372636,11.250000,8.372641,3.550074,-2.949750,-10.000000,0.000000
0.010000,8.407832,11.250000,8.407837,3.519576,-3.049750,-10.000000,0.000000
0.010000,8.442713,11.250000,8.442718,3.488079,-3.149750,-10.000000,0.000000
0.010000,8.477269,11.250000,8.477274,3.455581,-3.249750,-10.000000,0.000000
0.010000,8.511489,11.250000,8.511494,3.422084,-3.349750,-10.000000,0.000000
0.010000,8.545365,11.250000,8.545370,3.387586,-3.449750,-10.000000,0.000000
